,Place 132560,Place 132561,Place 132564,Place 132572,Place 132583,Place 132584,Place 132594,Place 132608,Place 132609,Place 132613,Place 132626,Place 132630,Place 132654,Place 132660,Place 132663,Place 132665,Place 132667,Place 132668,Place 132706,Place 132715,Place 132717,Place 132723,Place 132732,Place 132733,Place 132740,Place 132754,Place 132755,Place 132766,Place 132767,Place 132768,Place 132773,Place 132825,Place 132830,Place 132834,Place 132845,Place 132846,Place 132847,Place 132851,Place 132854,Place 132856,Place 132858,Place 132861,Place 132862,Place 132866,Place 132869,Place 132870,Place 132872,Place 132875,Place 132877,Place 132884,Place 132885,Place 132921,Place 132922,Place 132925,Place 132937,Place 132951,Place 132954,Place 132955,Place 132958,Place 134975,Place 134976,Place 134983,Place 134986,Place 134987,Place 134992,Place 134996,Place 134999,Place 135000,Place 135001,Place 135011,Place 135013,Place 135016,Place 135018,Place 135019,Place 135021,Place 135025,Place 135026,Place 135027,Place 135028,Place 135030,Place 135032,Place 135033,Place 135034,Place 135035,Place 135038,Place 135039,Place 135040,Place 135041,Place 135042,Place 135043,Place 135044,Place 135045,Place 135046,Place 135047,Place 135048,Place 135049,Place 135050,Place 135051,Place 135052,Place 135053,Place 135054,Place 135055,Place 135057,Place 135058,Place 135059,Place 135060,Place 135062,Place 135063,Place 135064,Place 135065,Place 135066,Place 135069,Place 135070,Place 135071,Place 135072,Place 135073,Place 135074,Place 135075,Place 135076,Place 135079,Place 135080,Place 135081,Place 135082,Place 135085,Place 135086,Place 135088,Place 135104,Place 135106,Place 135108,Place 135109
Place 132560,1,0.380405607,0.279327815,0.001343307,0.266693952,0.48984148,0.612449715,0.24280106,0.369639308,0.226774886,0.264944537,0.437934249,0.475290627,0.351731211,0.612449715,0.299379037,0.628294052,0.297781238,0.315908464,0.289485365,0.262081652,-0.065787097,0.830989516,0.321012292,0.430457223,-0.199514125,0.071017921,0.390859439,0.186098839,0.157341035,0.244964437,-0.207460043,0.064726564,-0.10816663,0.243117578,0.139798259,0.135478326,0.172972652,0.157576534,-0.022885811,0.24044663,0.034733141,-0.120006412,0.16951394,0.220385506,0.281821579,0.051342904,0.092865067,0.31213626,0.075186491,0.293499749,-0.045611263,0.068769136,0.190627745,0.144287019,0.03690229,-0.018857595,-0.05537338,-0.061079321,0.244905878,0.165323665,0.208049103,0.142475067,0.248091032,0.251067645,0.119729476,0.187855523,0.205690143,0.119010288,0.266693952,0.190201866,0.310781381,0.2297079,0.181871137,0.155357535,-0.088248055,-0.038656933,0.084360835,-0.140386633,-0.101716883,-0.136864614,0.309079564,-0.022564099,0.149128476,-0.043857559,-0.016047943,0.465557082,-0.085994627,-0.066626986,0.118131199,0.148979985,-0.077488954,-0.024083578,0.011965756,0.030003599,0.075224482,0.062801041,-0.0957936,-0.074376312,-0.015368628,0.130172988,-0.021293181,0.056661301,-0.097640946,-0.045702361,0.038511871,-0.088440272,-0.002667055,-0.099995843,0.020273318,-0.09267481,0.221720827,0.128221337,0.117955533,0.03906696,0.165859767,0.068247399,-0.166094326,-0.006469607,-0.047892822,0.030003599,0.011854855,0.137640691,-0.256516174,0.056712747,0.273818806,0.422170734,0.010027284,0.081334012,0.284485223
Place 132561,0.380405607,1,0.261937397,0.012144694,0.254979231,0.193825718,0.333665782,0.226507371,0.351161505,0.211330379,0.66870107,0.249081141,0.763341933,0.192800899,0.333665782,0.78147347,0.231909467,0.284376434,0.657226984,0.273527317,0.247056711,-0.047044674,0.2461052,0.183048881,0.235607077,-0.160964661,0.076257406,0.378260415,0.17594045,0.14000831,0.2282925,-0.17826996,0.06859205,-0.083779729,0.235806299,0.137583736,0.134005658,0.160780632,0.150739002,-0.004685773,0.233635117,0.045857444,-0.098418286,0.162199525,0.206047623,0.27149018,0.059438273,0.095559718,0.305990838,0.084079757,0.291421389,-0.033303265,0.071214449,0.189411292,0.1452668,0.047660151,0.00281956,-0.031090824,-0.03489447,0.230431238,0.158728066,0.200109018,0.127309961,0.235581186,0.242269906,0.110440244,0.175860946,0.198168859,0.114944911,0.254979231,0.179340153,0.294879931,0.215704421,0.170895424,0.142424772,-0.070642483,-0.022293299,0.091675302,-0.114242464,-0.0788881,-0.115282016,0.303598778,-0.003773357,0.149257093,-0.032493793,-0.003831525,0.454117968,-0.066436203,-0.051701085,0.119635297,0.155409892,-0.058821646,-0.009204306,0.025586359,0.051143963,0.090973184,0.068166065,-0.074640071,-0.061314947,0.004450882,0.125191818,-0.005515413,0.053889105,-0.075980915,-0.028990405,0.040014455,-0.067776183,0.013694618,-0.073006799,0.03278013,-0.07059006,0.216073759,0.129883163,0.11639495,0.049459155,0.163048707,0.078335153,-0.135279562,0.002884656,-0.030007236,0.051143963,0.022350475,0.135796669,-0.222675342,0.071115717,0.254677576,0.227820983,0.021210652,0.080295377,0.269456978
Place 132564,0.279327815,0.261937397,1,-0.006481392,0.183567148,0.13483882,0.242633786,0.360778243,0.255630525,0.148221749,0.384290237,0.175482525,0.341463907,0.31490149,0.242633786,0.326190938,0.165068307,0.341181586,0.21775539,0.445092126,0.837213445,-0.049985963,0.175614551,0.483505543,0.389172731,-0.135050735,0.047156182,0.277740085,0.122578746,0.090322441,0.161919656,-0.156926223,0.039625857,-0.079483646,0.169340013,0.094112252,0.091456528,0.108401027,0.102844698,-0.016495613,0.16772877,0.022948905,-0.091561279,0.112381457,0.144297329,0.197362613,0.031281458,0.060862485,0.222066914,0.054396024,0.211235116,-0.042040981,0.042150582,0.133488304,0.100278397,0.024289704,-0.0080801,-0.032927634,-0.036372893,0.164691888,0.109805151,0.1422027,0.081320907,0.169804883,0.174136522,0.069363991,0.121499828,0.140763613,0.074959541,0.183567148,0.125101606,0.214686308,0.152575677,0.117812689,0.094199816,-0.069609873,-0.03065462,0.060034811,-0.102533925,-0.07455738,-0.106742615,0.220288726,-0.01264307,0.1032416,-0.042121135,-0.016325464,0.336743581,-0.066003454,-0.055858917,0.079009678,0.108214049,-0.059091438,-0.020118779,0.006938314,0.030362682,0.061229594,0.040209681,-0.072108634,-0.064293276,-0.006170628,0.081943913,-0.015161925,0.023664091,-0.073719489,-0.034493294,0.012766192,-0.066290196,-0.000263094,-0.069114499,0.013918647,-0.067660428,0.150845235,0.087703098,0.076346987,0.025627736,0.113482773,0.050131212,-0.117012038,-0.013455998,-0.036393854,0.030362682,0.003520466,0.092785859,-0.193136161,0.04187153,0.180762553,0.160793946,0.004148369,0.046625061,0.194308861
Place 132572,0.001343307,0.012144694,-0.006481392,1,-0.014555356,-0.021234331,-0.008008912,-0.011192639,0.005608341,-0.020281465,0.000742437,-0.01090266,0.018788797,-0.020750944,-0.008008912,0.002600116,-0.025454347,-0.000918109,0.008803723,-0.002581165,1.77E-05,0.17260598,-0.016468613,-0.027993216,-0.020624447,0.052940572,0.147860582,-0.000629144,-0.030518474,-0.043433371,-0.010128375,-0.077067472,-0.089354155,-0.135937559,-0.026998905,-0.05279718,-0.054879561,-0.042731972,-0.046122646,-0.140751686,-0.028412309,0.072732788,-0.106131953,-0.038490317,-0.023413169,-0.009513663,-0.111974551,0.285496696,-0.029982622,0.310806949,-0.041775152,0.146743086,0.125379073,0.116850457,-0.05990154,0.194659166,0.188135131,-0.025714014,-0.028272774,-0.009172765,-0.040505935,-0.027467339,-0.046624692,-0.006967015,-0.022796364,-0.060002731,-0.031599909,-0.028640815,-0.06140651,-0.014555356,-0.028547721,0.006058417,-0.017638667,-0.034467879,-0.04331878,0.183188437,0.10747358,-0.07956883,0.090583025,-0.038075097,-0.091091,-0.031907871,0.208053301,0.087215127,-0.109355173,-0.125568339,0.009671483,-0.079028638,-0.157665816,-0.074920048,0.187839575,-0.070447921,0.271316184,0.115909888,0.428217119,-0.094027588,-0.088005739,-0.03974864,-0.089409795,-0.122912069,-0.063209242,-0.120521251,-0.058070349,0.049784751,-0.134691926,-0.069805875,-0.076501155,-0.11908163,-0.176627136,0.0633468,-0.164004347,-0.056326989,-0.068791335,-0.00706528,0.134914382,-0.049193886,0.308913977,0.479060683,-0.0835481,-0.095791379,0.038764025,-0.118941375,-0.053837134,-0.090957265,0.189760995,-0.008796822,-0.025465966,0.095926422,-0.034252767,-0.005203548
Place 132583,0.266693952,0.254979231,0.183567148,-0.014555356,1,0.133593345,0.232743443,0.158016269,0.247722986,0.145893614,0.174356338,0.174373028,0.325453994,0.132683635,0.232743443,0.198738311,0.158752446,0.199530589,0.211739688,0.192060222,0.1739301,-0.059743491,0.170486729,0.125795928,0.162671376,-0.150918131,0.039313793,0.264794001,0.118926559,0.495717623,0.376832307,-0.166447075,0.032971342,-0.090844069,0.160759695,0.087619077,0.084697813,0.106705939,0.098458142,-0.028133851,0.158956526,0.013035498,-0.100440084,0.107712681,0.141569952,0.188781162,0.022428983,0.05351945,0.20896285,0.043922892,0.196399187,-0.048654404,0.03626125,0.123589384,0.09140338,0.014505661,-0.022158022,-0.046759232,-0.051206641,0.160823589,0.104879342,0.135931004,0.605287596,0.164494035,0.166126726,0.21419693,0.11894602,0.368635736,0.419261805,0.176675509,0.121700737,0.208286509,0.258862577,0.11489692,0.093939856,-0.077469879,-0.040241404,0.050127897,-0.113343945,-0.085158175,-0.11481905,0.206902259,-0.024553784,0.094677591,-0.048223223,-0.024315309,0.319061771,-0.075283713,-0.063101955,0.071105329,0.095419491,-0.068176434,-0.029460447,-0.003463423,0.014098983,0.0462009,0.032687989,-0.081932728,-0.069912897,-0.019152155,0.077710037,-0.025162091,0.021704659,-0.083812945,-0.043879687,0.008881583,-0.076151887,-0.01164469,-0.082570869,0.003890694,-0.078218302,0.142133053,0.079191137,0.070510982,0.015972777,0.105992306,0.039229575,-0.129523542,-0.020130731,-0.046505664,0.014098983,-0.004810153,0.086160071,-0.203270622,0.028552094,0.416506483,0.156254541,-0.004480282,0.042301187,0.188685114
Place 132584,0.48984148,0.193825718,0.13483882,-0.021234331,0.133593345,1,0.3018676,0.188701216,0.427472493,0.319986999,0.127580811,0.3562502,0.259709524,0.63142083,0.3018676,0.148434888,0.474670867,0.152985901,0.161117727,0.14394146,0.13012509,-0.053701453,0.301987963,0.564158187,0.200866221,-0.118480437,0.026022678,0.20832198,0.084593058,0.053704674,0.114912906,-0.145228115,0.01824498,-0.078419084,0.122893434,0.063148722,0.061147874,0.070550501,0.068540226,-0.025949813,0.121681548,0.005985,-0.089042603,0.076911794,0.100347963,0.145830813,0.01035789,0.035727461,0.163866285,0.033221836,0.155723129,-0.050290737,0.020743902,0.09421919,0.06846801,0.006998462,-0.016341488,-0.034870199,-0.038101768,0.118381924,0.074971056,0.101465199,0.047366068,0.123743287,0.126500969,0.039054748,0.082606882,0.100382588,0.045934819,0.133593345,0.086493348,0.158817199,0.107874232,0.079826815,0.059062851,-0.070990818,-0.037996377,0.037471326,-0.096425482,-0.07332018,-0.103498264,0.162529596,-0.019571767,0.070701322,-0.051118126,-0.026531835,0.256308521,-0.067647242,-0.060920502,0.049836546,0.075157621,-0.061046741,-0.029123503,-0.007185983,0.015755281,0.04052942,0.019712248,-0.072268181,-0.068822416,-0.0141983,0.050565515,-0.022920547,0.000392613,-0.074142161,-0.039696279,-0.008419547,-0.067065282,-0.010837485,-0.067858008,-0.000131744,-0.067287936,0.104693876,0.05764795,0.047417811,0.00800982,0.078419417,0.030007673,-0.106088903,-0.026719149,-0.042338092,0.015755281,-0.010999317,0.06214941,-0.17620135,0.020734806,0.128411854,0.531880211,-0.00890983,0.021598109,0.141670845
Place 132594,0.612449715,0.333665782,0.242633786,-0.008008912,0.232743443,0.3018676,1,0.351300163,0.324267812,0.331540262,0.230227039,0.379331709,0.421648381,0.304447289,0.768289639,0.261329839,0.716266506,0.26126992,0.277102715,0.252676865,0.228765305,-0.066832416,0.558504532,0.375621967,0.530921861,-0.184567578,0.057502149,0.34495003,0.159607584,0.129765872,0.211786268,-0.198309306,0.050586496,-0.105546511,0.212123305,0.119051395,0.115267319,0.145844924,0.133821013,-0.027347467,0.209787254,0.024617571,-0.117110537,0.145080568,0.189374221,0.2473306,0.038012897,0.07633532,0.274078043,0.062452362,0.25781363,-0.050876292,0.054444288,0.164977928,0.123615711,0.026519978,-0.021616879,-0.053698631,-0.059025661,0.212689601,0.141410187,0.180432552,0.116987961,0.216530276,0.219076537,0.097595616,0.160353595,0.178367957,0.098858673,0.232743443,0.163201459,0.272624554,0.198425681,0.155109736,0.129725075,-0.088298213,-0.04225155,0.070489211,-0.134371181,-0.099089509,-0.133856584,0.271410345,-0.024941401,0.12785597,-0.049837676,-0.022060596,0.413307102,-0.085813668,-0.069473744,0.09891057,0.128512834,-0.077493848,-0.028865871,0.003927448,0.023516495,0.064176481,0.049583964,-0.09441494,-0.077374651,-0.018209877,0.108315066,-0.024860093,0.039561687,-0.096418822,-0.047756594,0.023368825,-0.087437335,-0.007811751,-0.096508364,0.012300559,-0.090620523,0.190703662,0.108615401,0.098331089,0.02841845,0.142509428,0.056373571,-0.156127943,-0.015151084,-0.050356119,0.023516495,0.00290604,0.11716146,-0.24371453,0.044572236,0.236785422,0.84125887,0.002297357,0.063862908,0.248303745
Place 132608,0.24280106,0.226507371,0.360778243,-0.011192639,0.158016269,0.188701216,0.351300163,1,0.633699718,0.459168147,0.151685122,0.238816934,0.298143408,0.424673218,0.209891751,0.175040778,0.244221026,0.410504589,0.18830665,0.383507013,0.153512969,-0.048783811,0.251994,0.288359015,0.237970351,-0.122628322,0.037859012,0.241441355,0.103800083,0.073120596,0.138155812,-0.145636098,0.030502629,-0.075231642,0.145744694,0.079209207,0.076914986,0.090180441,0.086266374,-0.018701457,0.144354913,0.016278361,-0.08638517,0.094991267,0.122398255,0.170741647,0.022775492,0.049513598,0.192190779,0.044898076,0.182869222,-0.042960702,0.032876876,0.114067307,0.084916191,0.017438054,-0.010097601,-0.031617078,-0.034794169,0.141128553,0.092765728,0.121717389,0.065493072,0.146181424,0.149881923,0.05548491,0.102387847,0.120475245,0.061463916,0.158016269,0.105979403,0.185663098,0.130085824,0.099201529,0.077497049,-0.066819686,-0.03159036,0.049769615,-0.095505796,-0.070484887,-0.100699628,0.190660475,-0.01408308,0.087475662,-0.043331645,-0.018976601,0.294176334,-0.063396281,-0.055011287,0.065456639,0.09224299,-0.056897507,-0.02211293,0.001994752,0.024521962,0.051821885,0.031421531,-0.068681132,-0.062970512,-0.008233558,0.067301056,-0.016883302,0.014315406,-0.070307292,-0.034500612,0.004720642,-0.063329537,-0.003571203,-0.065135082,0.008690652,-0.064194262,0.128142716,0.073491193,0.062900955,0.01859535,0.096321373,0.041213525,-0.107550266,-0.017396301,-0.036556997,0.024521962,-0.001516281,0.078063367,-0.178392407,0.033044198,0.154263457,0.330198353,-0.000371278,0.035778815,0.167281425
Place 132609,0.369639308,0.351161505,0.255630525,0.005608341,0.247722986,0.427472493,0.324267812,0.633699718,1,0.471652193,0.241465063,0.386546128,0.447876468,0.434868041,0.324267812,0.274964688,0.388902727,0.276832461,0.291861623,0.266716796,0.241080758,-0.053451484,0.40129531,0.179405258,0.229352832,-0.168587386,0.070162587,0.367390862,0.170612611,0.136661713,0.222898791,-0.184734126,0.062741712,-0.090821395,0.228084386,0.131549872,0.127905666,0.155908571,0.145226108,-0.012032181,0.225860152,0.038962685,-0.10446044,0.156619359,0.200603821,0.263607165,0.052480865,0.089309234,0.295587743,0.077052303,0.280471449,-0.038994567,0.06576416,0.18145466,0.138220372,0.040797383,-0.005103633,-0.038414888,-0.042711736,0.224636597,0.153084047,0.193692672,0.123939913,0.229361108,0.234705544,0.106255434,0.170800767,0.191712526,0.10970829,0.247722986,0.17407464,0.287609971,0.210062577,0.165745919,0.138281048,-0.076353707,-0.028759959,0.084789523,-0.120747422,-0.085423151,-0.121282903,0.293106758,-0.010635669,0.142290971,-0.038110952,-0.009740966,0.440802643,-0.072706416,-0.057453715,0.11289394,0.146660767,-0.064864607,-0.015577191,0.018559483,0.042177271,0.082268488,0.06212888,-0.081037615,-0.066510436,-0.002896909,0.119697008,-0.01178624,0.049233988,-0.082593179,-0.035069344,0.034610299,-0.074138125,0.006719392,-0.080612897,0.026134286,-0.077071219,0.207808503,0.122963854,0.110516885,0.042628304,0.156359463,0.071200411,-0.142013964,-0.002963343,-0.036599122,0.042177271,0.016042163,0.129729783,-0.229455477,0.062496785,0.248829661,0.375348756,0.015074754,0.074952897,0.262549042
Place 132613,0.226774886,0.211330379,0.148221749,-0.020281465,0.145893614,0.319986999,0.331540262,0.459168147,0.471652193,1,0.140351963,0.742863258,0.280102748,0.104274868,0.468108012,0.162512336,0.427521709,0.166504369,0.175631856,0.157481127,0.142416574,-0.056105585,0.432545907,0.510863989,0.407907272,-0.127718793,0.029547488,0.225425493,0.093767377,0.062860417,0.126903228,-0.153101253,0.021819124,-0.082714748,0.133910808,0.069856378,0.067625363,0.079665361,0.07642507,-0.026800559,0.132553531,0.007782757,-0.093476828,0.085202605,0.111291006,0.158472036,0.013245594,0.04039469,0.177523758,0.036486546,0.168325211,-0.051151689,0.024523897,0.102812358,0.075069221,0.008911035,-0.017599801,-0.037836949,-0.041372789,0.13007648,0.083038634,0.111178941,0.055711894,0.135279167,0.137951034,0.04598034,0.092100825,0.109969521,0.052195754,0.145893614,0.095886234,0.173049794,0.119048171,0.089002743,0.067582421,-0.073988936,-0.03922992,0.041224961,-0.102108872,-0.077380959,-0.108322556,0.176014125,-0.020802002,0.077561788,-0.051763081,-0.026609873,0.276055845,-0.070752389,-0.062809654,0.055585462,0.081499188,-0.063879407,-0.029746385,-0.006390277,0.016233806,0.04309762,0.022998113,-0.075887139,-0.070744374,-0.015253891,0.057414981,-0.023740763,0.004687645,-0.07780602,-0.041365457,-0.005111734,-0.070429409,-0.011016778,-0.072276581,0.000903177,-0.071008082,0.115143202,0.063674594,0.053415677,0.010036972,0.086175748,0.03290257,-0.113285752,-0.025964124,-0.044057447,0.016233806,-0.009864283,0.068742111,-0.18605078,0.023160161,0.141836106,0.498159087,-0.00806178,0.026394871,0.15493867
